ID,Code,Easting,Northing,Elevation,Sd,HA,VA,PC,TH
4001,zkaj,545707.2056,202205.4489,325.0069,62.0292,77.3013,91.2400,-0.0070,1.3000
4002,zktj,545704.3162,202206.1155,326.0057,61.3348,74.4916,90.2857,-0.0070,1.3000
4003,zktb,545701.6931,202206.9033,325.7951,61.0091,72.1625,90.4059,-0.0070,1.3000
4004,zkab,545700.2558,202207.2337,325.2521,60.7953,70.5406,91.1150,-0.0070,1.3000
4005,zkab,545687.2268,202166.9434,325.6399,18.6519,77.4728,92.4245,-0.0070,1.3000
4006,zktb,545688.3218,202166.3100,326.1721,18.6284,81.4102,91.0439,-0.0070,1.3000
4007,zktj,545690.9597,202165.2743,326.3383,19.3344,89.5846,90.3243,-0.0070,1.3000
4008,zkaj,545693.0527,202164.0708,325.3519,19.9348,96.5028,93.2201,-0.0070,1.3000
4009,fvo,545693.0697,202164.6678,325.5157,20.3502,95.3842,92.5011,-0.0070,1.3000
4010,fvo,545693.4652,202165.5137,325.5576,21.2236,94.4520,92.3622,-0.0070,1.3000
4011,fvo,545692.5527,202165.9058,325.6865,20.8742,92.1258,92.1744,-0.0070,1.3000
4012,szko,545691.0150,202159.5260,326.2825,15.4291,104.0042,90.5327,-0.0070,1.3000
4013,zkaj,545674.5278,202119.4398,325.7621,31.3077,237.1828,91.2330,-0.0070,1.3000
4014,zktj,545672.5121,202120.6112,326.6374,30.4707,241.2111,89.4701,-0.0070,1.3000
4015,zktb,545669.9596,202121.7455,326.6237,29.9872,246.3414,89.4822,-0.0070,1.3000
4016,zkab,545668.3709,202122.3012,326.0715,29.9594,249.4719,90.5145,-0.0070,1.3000
4017,fvo,545673.9371,202118.3610,325.9199,32.4527,238.0556,91.0350,-0.0070,1.3000
4018,fvo,545673.6084,202117.5859,325.9271,33.2670,238.2813,91.0131,-0.0070,1.3000
4019,fvo,545673.1227,202118.6893,325.9806,32.2532,239.3651,90.5745,-0.0070,1.3000
4020,szko,545645.2837,202070.3095,327.3405,86.7966,252.2859,89.2735,-0.0070,1.3000
4021,zkab,545644.7224,202068.9001,326.6339,88.3097,252.2809,89.5539,-0.0070,1.3000
4022,zktb,545646.0156,202068.2593,327.2295,88.4210,251.3209,89.3230,-0.0070,1.3000
4023,zktj,545648.7575,202066.9371,327.1448,88.6935,249.3427,89.3552,-0.0070,1.3000
4024,zkaj,545650.0405,202066.4608,326.5318,88.7197,248.4125,89.5938,-0.0070,1.3000
4025,fvo,545648.5344,202058.7752,327.8013,96.4960,248.0417,89.1426,-0.0070,1.3000
4026,fvo,545648.8764,202059.6148,327.8247,95.5921,248.0159,89.1309,-0.0070,1.3000
4027,fvo,545649.3649,202058.4307,328.0973,96.5738,247.3222,89.0356,-0.0070,1.3000
4028,folyoka,545647.2639,202058.4355,327.2459,97.2143,248.4315,89.3424,-0.0070,1.3000
4029,folyoka,545647.5158,202058.6915,327.4691,96.8930,248.3743,89.2624,-0.0070,1.3000
4030,folyoka,545647.1359,202058.0878,327.5340,97.5873,248.4335,89.2421,-0.0070,1.3000
4031,folyoka,545650.1123,202056.4923,327.7272,98.1990,246.4655,89.1749,-0.0070,1.3000
4032,folyoka,545650.3985,202056.7747,328.0296,97.8502,246.4010,89.0702,-0.0070,1.3000
4033,folyoka,545649.8902,202056.1573,328.0312,98.5882,246.5057,89.0723,-0.0070,1.3000
4034,zkaj,545620.7431,201999.8636,327.2205,161.3249,250.5656,89.4507,-0.0070,1.3000
4035,zktj,545619.5631,202000.4025,327.7960,161.2533,251.2432,89.3251,-0.0070,1.3000
4036,zktb,545617.0215,202001.5335,327.8248,161.1543,252.2349,89.3213,-0.0070,1.3000
4037,zkab,545615.7895,202002.0533,327.1772,161.1457,252.5221,89.4602,-0.0070,1.3000
4038,fvo,545622.0177,201998.4313,328.3097,162.2228,250.2050,89.2207,-0.0070,1.3000
4039,fvo,545622.3382,201999.2412,328.3382,161.3525,250.2026,89.2118,-0.0070,1.3000
4040,fvo,545623.1380,201998.9473,328.3598,161.3518,250.0217,89.2051,-0.0070,1.3000
4041,bizber,545655.8830,202094.0620,326.6646,60.7959,251.4954,89.5157,-0.0070,1.3000
4042,tel,545662.3182,202109.4615,326.1630,44.1094,251.3137,90.2801,-0.0070,1.3000
4043,bizber,545662.2827,202109.9615,326.4299,43.6567,251.4842,90.0717,-0.0070,1.3000
4044,szko,545710.8275,202362.5903,323.9387,101.6691,62.5950,90.5458,0.0020,1.3000
4045,szko,545716.5727,202357.5867,324.7024,96.5446,66.1530,90.3042,-0.0070,1.3000
4046,zkaj,545715.2159,202357.0351,324.0958,95.9995,65.2703,90.5236,-0.0070,1.3000
4047,zktj,545713.9137,202356.9874,324.5433,95.9634,64.4023,90.3635,-0.0070,1.3000
4048,zktb,545711.1859,202356.6955,324.3481,95.7676,63.0215,90.4340,-0.0070,1.3000
4049,zkab,545709.7261,202356.7287,323.8954,95.8895,62.1001,90.5950,-0.0070,1.3000
4050,zkab,545711.9731,202334.7732,324.0790,73.8407,62.4915,91.0910,-0.0070,1.3000
4051,zktb,545713.4339,202334.7813,324.6124,73.7779,63.5716,90.4422,-0.0070,1.3000
4052,zktj,545716.3069,202334.9987,324.7889,73.9555,66.1107,90.3603,-0.0070,1.3000
4053,zkaj,545717.4243,202335.0965,324.2361,74.0766,67.0258,91.0139,-0.0070,1.3000
4054,fvo,545719.7733,202333.7299,325.2412,72.7883,68.5518,90.1516,-0.0070,1.3000
4055,fvo,545720.7763,202333.8989,325.5762,73.0173,69.4201,89.5927,-0.0070,1.3000
4056,fvo,545719.7180,202334.7765,325.3882,73.8299,68.5006,90.0812,-0.0070,1.3000
4057,zkab,545712.9417,202323.8347,324.2670,62.8661,63.1050,91.1057,-0.0070,1.3000
4058,zktb,545714.1550,202323.9892,324.6826,62.9691,64.1724,90.4809,-0.0070,1.3000
4059,zktj,545716.9408,202323.9154,324.8822,62.8799,66.4937,90.3718,-0.0070,1.3000
4060,zkaj,545718.1621,202323.9119,324.3469,62.9178,67.5622,91.0632,-0.0070,1.3000
4061,zkaj,545718.6586,202308.9571,324.5853,48.0012,69.1129,91.1008,-0.0070,1.3000
